,film_id,title,description,_merge
0,530,LORD ARIZONA,A Action-Packed Display of a Frisbee And a Pastry Chef who must Pursue a Crocodile in A Jet Boat,left_only
1,823,SOUTH WAIT,A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park,left_only
2,130,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,left_only
3,732,RINGS HEARTBREAKERS,A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans,left_only
4,115,CAMPUS REMEMBER,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,left_only
5,360,GLASS DYING,A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan,left_only
6,318,FIREHOUSE VIETNAM,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,left_only
7,194,CROW GREASE,A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station,left_only
8,111,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,left_only
9,717,REAR TRADING,A Awe-Inspiring Reflection of a Forensic Psychologist And a Secret Agent who must Succumb a Pastry Chef in Soviet Georgia,left_only
10,395,HANDICAP BOONDOCK,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,left_only
11,229,DEVIL DESIRE,A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan,left_only
12,38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,left_only
13,292,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,left_only
14,19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,left_only
15,869,SUSPECTS QUILLS,A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse,left_only
16,252,DREAM PICKUP,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,left_only
17,417,HILLS NEIGHBORS,A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat,left_only
18,802,SKY MIRACLE,A Epic Drama of a Mad Scientist And a Explorer who must Succumb a Waitress in An Abandoned Fun House,left_only
19,371,GOSFORD DONNIE,A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin,left_only
20,253,DRIFTER COMMANDMENTS,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,left_only
21,97,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,left_only
