,fid,title,description,category,price,length,rating,actors,_merge
0,26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,Sci-Fi,0.99,86,G,"ADAM GRANT, CATE MCQUEEN, GRETA KEITEL",right_only
1,26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,Sci-Fi,0.99,86,G,"ADAM GRANT, CATE MCQUEEN, GRETA KEITEL",left_only
2,638,OPERATION OPERATION,A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China,Comedy,2.99,156,G,"ADAM GRANT, GREGORY GOODING, CHRISTIAN AKROYD",right_only
3,918,TWISTED PIRATES,A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention,Children,4.99,152,PG,"ADAM GRANT, JUDE CRUISE, NATALIE HOPKINS",right_only
4,399,HAPPINESS UNITED,A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan,Foreign,2.99,100,G,"ADAM GRANT, MERYL GIBSON, CUBA ALLEN, GROUCHO DUNST, NICK WAHLBERG",right_only
5,956,WANDA CHAMBER,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,Games,4.99,107,PG-13,"ADAM GRANT, MILLA KEITEL, MATTHEW LEIGH, DAN STREEP, GENE MCKELLEN, BURT DUKAKIS, SEAN WILLIAMS",right_only
6,560,MARS ROMAN,A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia,Games,0.99,62,NC-17,"ADAM GRANT, RIVER DEAN, OLYMPIA PFEIFFER, MICHAEL BOLGER, CUBA BIRCH, JAYNE SILVERSTONE, BELA WALKEN",left_only
7,773,SEABISCUIT PUNK,A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention,Sports,2.99,112,NC-17,"ADAM GRANT, SEAN WILLIAMS, ROCK DUKAKIS",left_only
8,133,CHAMBER ITALIAN,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,Music,4.99,117,NC-17,"ADAM HOPPER, ALEC WAYNE, EMILY DEE, RICHARD PENN, GINA DEGENERES, RIP WINSLET, HENRY BERRY",right_only
9,81,BLINDNESS GUN,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,Sci-Fi,4.99,103,PG-13,"ADAM HOPPER, CHRIS BRIDGES, BURT DUKAKIS",right_only
10,904,TRAIN BUNCH,A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India,Horror,4.99,71,R,"ADAM HOPPER, JULIA MCQUEEN, RIP CRAWFORD, PENELOPE CRONYN",right_only
11,311,FICTION CHRISTMAS,A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft,Foreign,0.99,72,PG,"ADAM HOPPER, MARY KEITEL, ROCK DUKAKIS, MATTHEW CARREY, LISA MONROE, CUBA ALLEN, ALEC WAYNE, KEVIN BLOOM",right_only
