,fid,title,description,category,price,length,rating,actors,_merge
0,26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,Sci-Fi,0.99,86,G,"Adam Grant, Cate Mcqueen, Greta Keitel",right_only
1,26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,Sci-Fi,0.99,86,G,"Adam Grant, Cate Mcqueen, Greta Keitel",left_only
2,638,OPERATION OPERATION,A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China,Comedy,2.99,156,G,"Adam Grant, Gregory Gooding, Christian Akroyd",right_only
3,918,TWISTED PIRATES,A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention,Children,4.99,152,PG,"Adam Grant, Jude Cruise, Natalie Hopkins",right_only
4,399,HAPPINESS UNITED,A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan,Foreign,2.99,100,G,"Adam Grant, Meryl Gibson, Cuba Allen, Groucho Dunst, Nick Wahlberg",right_only
5,956,WANDA CHAMBER,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,Games,4.99,107,PG-13,"Adam Grant, Milla Keitel, Matthew Leigh, Dan Streep, Gene Mckellen, Burt Dukakis, Sean Williams",right_only
6,560,MARS ROMAN,A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia,Games,0.99,62,NC-17,"Adam Grant, River Dean, Olympia Pfeiffer, Michael Bolger, Cuba Birch, Jayne Silverstone, Bela Walken",left_only
7,773,SEABISCUIT PUNK,A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention,Sports,2.99,112,NC-17,"Adam Grant, Sean Williams, Rock Dukakis",left_only
8,133,CHAMBER ITALIAN,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,Music,4.99,117,NC-17,"Adam Hopper, Alec Wayne, Emily Dee, Richard Penn, Gina Degeneres, Rip Winslet, Henry Berry",right_only
9,81,BLINDNESS GUN,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,Sci-Fi,4.99,103,PG-13,"Adam Hopper, Chris Bridges, Burt Dukakis",right_only
10,904,TRAIN BUNCH,A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India,Horror,4.99,71,R,"Adam Hopper, Julia Mcqueen, Rip Crawford, Penelope Cronyn",right_only
11,311,FICTION CHRISTMAS,A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft,Foreign,0.99,72,PG,"Adam Hopper, Mary Keitel, Rock Dukakis, Matthew Carrey, Lisa Monroe, Cuba Allen, Alec Wayne, Kevin Bloom",right_only
12,375,GRAIL FRANKENSTEIN,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,Action,2.99,85,NC-17,"Al Garland, Greta Keitel, Daryl Wahlberg, Johnny Lollobrigida, Jayne Neeson",right_only
