,payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update,_merge
0,3504,130,1,1,2.99,2005-05-24 22:53:30,2006-02-15 22:13:16,right_only
1,3504,130,1,1,2.99,2005-05-24 22:53:30,2006-02-15 22:13:16,left_only
2,10785,399,2,10,5.99,2005-05-25 00:02:21,2006-02-15 22:17:46,right_only
3,10785,399,2,10,5.99,2005-05-25 00:02:21,2006-02-15 22:17:46,left_only
4,5630,208,1,100,4.99,2005-05-25 16:50:28,2006-02-15 22:14:10,right_only
5,5630,208,1,100,4.99,2005-05-25 16:50:28,2006-02-15 22:14:10,left_only
6,8960,332,1,1000,6.99,2005-05-31 00:25:56,2006-02-15 22:16:16,right_only
7,8960,332,1,1000,6.99,2005-05-31 00:25:56,2006-02-15 22:16:16,left_only
8,15446,576,1,10000,2.99,2005-07-31 17:41:05,2006-02-15 22:22:31,right_only
9,15446,576,1,10000,2.99,2005-07-31 17:41:05,2006-02-15 22:22:31,left_only
10,6606,244,1,10001,4.99,2005-07-31 17:46:18,2006-02-15 22:14:44,right_only
11,6606,244,1,10001,4.99,2005-07-31 17:46:18,2006-02-15 22:14:44,left_only
12,8742,323,2,10002,4.99,2005-07-31 17:48:16,2006-02-15 22:16:07,right_only
13,8742,323,2,10002,4.99,2005-07-31 17:48:16,2006-02-15 22:16:07,left_only
14,347,13,1,10003,4.99,2005-07-31 17:48:51,2006-02-15 22:12:32,right_only
15,347,13,1,10003,4.99,2005-07-31 17:48:51,2006-02-15 22:12:32,left_only
16,15282,570,1,10004,0.99,2005-07-31 17:51:23,2006-02-15 22:22:20,right_only
17,15282,570,1,10004,0.99,2005-07-31 17:51:23,2006-02-15 22:22:20,left_only
18,12269,454,1,10005,3.99,2005-07-31 17:53:51,2006-02-15 22:19:10,right_only
19,12269,454,1,10005,3.99,2005-07-31 17:53:51,2006-02-15 22:19:10,left_only
20,12710,470,1,10006,4.99,2005-07-31 17:54:35,2006-02-15 22:19:35,right_only
21,12710,470,1,10006,4.99,2005-07-31 17:54:35,2006-02-15 22:19:35,left_only
22,12010,445,1,10007,0.99,2005-07-31 17:54:58,2006-02-15 22:18:55,right_only
23,12010,445,1,10007,0.99,2005-07-31 17:54:58,2006-02-15 22:18:55,left_only
24,2492,91,2,10008,4.99,2005-07-31 17:59:36,2006-02-15 22:12:56,right_only
25,2492,91,2,10008,4.99,2005-07-31 17:59:36,2006-02-15 22:12:56,left_only
